roundNumber,playerId,roundTimeMillis,locationX,locationY,viewRadians,matchId
13,2829,36340,511.7569139,166.6962611,1.5774115,81259
13,2829,36497,520.8118694,165.5416024,1.5774115,81259
13,2829,50507,699.4193472,325.188368,2.1056762,81259
13,2829,50573,700.0878338,324.3983383,2.1056762,81259
13,2829,51352,710.6620772,330.9616617,2.0868843,81259
13,2829,53732,727.6781009,359.3419585,1.8068382,81259
13,2829,64498,703.1264095,382.7389911,1.6967746,81259
14,2829,16125,334.0610089,406.0144807,2.861641,81259
14,2829,39286,324.8845104,293.2833234,3.7822187,81259
14,2829,40842,326.7684273,292.0678932,3.2370315,81259
14,2829,51876,191.9772107,456.2725223,2.9458175,81259
14,2829,74196,237.3127596,390.0315727,1.1073427,81259
14,2829,89802,267.7592878,383.1036202,1.1511675,81259
14,2829,90721,289.3939466,359.40273,2.070778,81259
15,2829,13620,451.5931157,426.5552522,3.765923,81259
15,2829,15692,442.6597033,446.6098516,3.5972302,81259
15,2829,17869,446.7921662,459.1895549,3.6701424,81259
15,2829,19057,448.0075964,466.0567359,3.6466556,81259
15,2829,19886,440.2896142,459.9795846,3.8987174,81259
15,2829,21653,412.2131751,459.675727,3.5879006,81259
15,2829,21653,412.2131751,459.675727,,81259
16,2829,8768,669.215905,301.0013056,2.4236891,81259
16,2829,16745,700.8778635,252.8094955,2.9423296,81259
16,2829,24668,706.5296142,252.8702671,3.5898309,81259
16,2829,24897,706.6511573,252.0802374,3.59124,81259
16,2829,26012,728.7112166,253.1133531,3.2127109,81259
17,2829,29239,721.9048071,264.0522255,3.0010183,81259
17,2829,30561,703.308724,249.5278338,3.3925729,81259
17,2829,34710,730.5951335,249.1632047,3.2552028,81259
17,2829,36347,730.5951335,249.1632047,3.2610517,81259
17,2829,41248,789.1788724,310.8462908,3.2406726,81259
17,2829,43907,811.1781602,396.7772107,4.8083587,81259
17,2829,58543,667.5750742,429.5938279,5.485514,81259
18,2829,74677,619.6871217,275.355727,1.7637631,81259
18,2829,76115,623.1510979,224.3076558,5.298785,81259
18,2829,77481,575.5062315,185.8392878,5.283223,81259
18,2829,77749,567.3020772,178.5467062,5.149781,81259
18,2829,79463,534.3639169,162.2599407,2.0510275,81259
18,2829,79950,550.9545401,167.0001187,2.1152093,81259
18,2829,89735,334.304095,244.7268843,3.2336311,81259
19,2829,25203,803.095549,421.8150742,5.143149,81259
19,2829,25742,789.3611869,414.5832641,5.7183137,81259
19,2829,26579,772.2236202,391.0646884,5.6103787,81259
19,2829,27228,751.9259347,366.2091395,4.658891,81259
19,2829,32369,439.074184,450.56,,81259
20,2829,43584,824.9125223,271.4055786,3.4951696,81259
20,2829,45941,812.2720475,284.349911,3.52886,81259
20,2829,46651,811.4820178,284.1068249,3.3865511,81259
20,2829,52943,817.8022552,286.9630861,4.153033,81259
20,2829,55308,809.7804154,287.0238576,3.4349666,81259
20,2829,55342,809.7196439,287.0238576,3.4407828,81259
21,2829,37451,380.0650445,461.8635015,4.681326,81259
21,2829,39325,348.281543,443.571276,3.595485,81259
21,2829,41065,340.8674184,441.6873591,,81259
22,2829,24609,849.5857567,483.4373887,3.2785003,81259
22,2829,28223,863.8062908,524.0935312,3.7708237,81259
22,2829,58988,373.258635,214.7057567,1.4292864,81259
22,2829,83928,747.7934718,360.1319881,1.7580382,81259
22,2829,85274,738.9208309,377.634184,4.659371,81259
22,2829,89516,686.2319288,404.9205935,4.526969,81259
22,2829,89964,685.9888427,397.1418398,4.4603357,81259
22,2829,90361,685.9888427,397.1418398,4.460412,81259
22,2829,90750,684.1656973,384.3190504,4.4455934,81259
23,2829,47673,170.5248665,284.5322255,2.8446708,81259
23,2829,57790,159.5859941,269.0962611,3.1065981,81259
23,2829,104000,636.5208309,292.0678932,,81259
24,2829,29032,816.5868249,310.4816617,3.806285,81259
24,2829,35855,801.6370326,279.4274184,,81259
