roundNumber,playerId,roundTimeMillis,locationX,locationY,viewRadians,matchId
1,1505,36555,601.1482352941176,610.3843137254902,5.8274975,81102
1,1652,36555,427.10839215686275,419.1573333333333,4.20397,81102
1,1685,36555,67.70447058823527,462.7676862745099,,81102
1,2829,36555,431.20439215686275,450.0781176470588,4.684394,81102
1,2899,36555,484.9342745098039,531.5162352941177,4.3849797,81102
1,3651,36555,227.7697254901961,716.6393725490196,4.381677,81102
1,3658,36555,256.44172549019606,481.5610980392158,3.3285701,81102
1,4645,36555,88.18447058823529,562.0354509803923,6.0678515,81102
1,11649,36555,226.32407843137253,435.30039215686276,3.0363312,81102
1,25888,36555,128.9838431372549,504.209568627451,2.5598917,81102
1,1505,43623,361.01019607843136,465.33772549019614,4.347014,81102
1,1652,43623,352.09537254901954,426.4658823529412,4.0551744,81102
1,2829,43623,329.8484705882353,441.64517647058824,4.4939876,81102
1,2899,43623,351.61349019607843,568.7818039215687,4.7436438,81102
1,3651,43623,263.9912156862746,742.6610196078432,2.1657891,81102
1,3658,43623,266.8021960784314,574.4037647058824,6.174368,81102
1,4645,43623,218.77458823529417,721.6188235294119,0.4175297,81102
1,11649,43623,147.21505882352938,523.886431372549,2.8324945,81102
1,25888,43623,85.37349019607842,452.567843137255,3.8468397,81102
1,1505,50776,222.14776470588237,499.3907450980393,3.5351226,81102
1,1652,50776,263.2683921568627,527.4202352941177,4.6286626,81102
1,2829,50776,237.0861176470588,498.5876078431373,2.81217,81102
1,2899,50776,307.0393725490196,602.7545098039216,4.38057,81102
1,3651,50776,239.49552941176472,805.0647843137256,1.7432737,81102
1,3658,50776,262.947137254902,574.3234509803922,,81102
1,4645,50776,324.0658823529412,440.19952941176473,6.2450275,81102
1,11649,50776,146.49223529411773,668.451137254902,0.4870991,81102
1,25888,50776,59.27152941176473,453.4512941176472,2.555959,81102
1,1505,52968,170.1044705882353,522.6817254901962,,81102
1,1652,52968,255.87952941176468,574.4037647058824,5.544728,81102
1,2829,52968,175.32486274509802,493.52784313725493,3.8723671,81102
1,2899,52968,314.588862745098,622.6723137254902,4.756329,81102
1,3651,52968,226.64533333333338,867.2276078431373,6.203993,81102
1,4645,52968,288.32627450980385,366.31090196078435,4.3751044,81102
1,11649,52968,140.95058823529416,692.1436862745098,0.07631561,81102
1,25888,52968,45.29694117647057,469.59435294117657,1.9642618,81102
1,1652,57749,162.95654901960785,509.6709019607844,4.851406,81102
1,2829,57749,169.94384313725493,480.03513725490205,4.59148,81102
1,2899,57749,241.50337254901962,609.4205490196078,5.2320604,81102
1,3651,57749,221.42494117647067,867.6291764705884,0.17023663,81102
1,4645,57749,219.0155294117647,446.5443137254902,3.0294204,81102
1,11649,57749,187.6931764705883,790.528,6.056047,81102
1,25888,57749,42.08439215686275,493.28690196078446,,81102
1,1652,69584,135.89082352941176,499.71200000000005,3.280526,81102
1,2829,69584,96.4567843137255,490.5562352941177,2.7924917,81102
1,2899,69584,184.721568627451,606.9308235294118,,81102
1,3651,69584,159.42274509803923,661.1425882352942,0.45815575,81102
1,4645,69584,227.2075294117647,482.9264313725491,3.4765756,81102
1,11649,69584,98.38431372549019,656.0828235294118,1.0732236,81102
1,1652,71141,138.30023529411767,495.5356862745098,,81102
1,2829,71141,78.86807843137257,510.55435294117655,2.696491,81102
1,3651,71141,148.90164705882353,631.6674509803922,6.127292,81102
1,4645,71141,228.49254901960785,479.31231372549024,4.4397078,81102
1,11649,71141,116.69584313725488,646.6058039215687,0.13652462,81102
1,2829,73235,79.18933333333337,567.8983529411765,1.2318825,81102
1,3651,73235,135.168,549.0246274509805,,81102
1,4645,73235,225.3603137254902,483.0067450980393,4.351162,81102
1,11649,73235,136.29239215686277,601.0679215686275,5.706008,81102
1,2829,79048,61.7612549019608,547.578980392157,,81102
1,4645,79048,184.96250980392153,544.768,4.706349,81102
1,11649,79048,131.71450980392166,711.0977254901961,6.17897,81102
2,1505,17216,373.0572549019608,448.39152941176474,1.6452901,81102
2,1652,17216,265.3565490196079,784.5847843137255,1.8470094,81102
2,1685,17216,894.6949019607844,499.310431372549,5.149957,81102
2,2829,17216,182.231843137255,770.048,1.7807993,81102
2,2899,17216,252.98823529411771,813.9796078431373,1.7033898,81102
2,3651,17216,876.2227450980392,539.065725490196,4.6156516,81102
2,3658,17216,787.8776470588236,797.0334117647058,5.4525356,81102
2,4645,17216,659.2150588235294,600.1041568627451,2.7374854,81102
2,11649,17216,762.4985098039217,802.0128627450979,4.7015553,81102
2,25888,17216,857.9112156862745,481.8823529411764,,81102
2,1505,19525,429.35717647058823,458.75199999999995,1.6026484,81102
2,1652,19525,358.9220392156863,827.4723137254903,1.2219944,81102
2,1685,19525,888.5910588235295,480.11545098039215,,81102
2,2829,19525,283.9893333333334,828.6770196078432,1.6404006,81102
2,2899,19525,310.73380392156866,838.3949803921569,1.5312963,81102
2,3651,19525,856.867137254902,550.3899607843136,0.41077426,81102
2,3658,19525,817.7543529411764,753.5836862745098,0.27285793,81102
2,4645,19525,686.9232941176471,582.2745098039215,1.1028367,81102
2,11649,19525,797.1137254901962,784.2635294117647,0.38637063,81102
2,1505,24624,569.1833725490196,517.1400784313726,2.8715155,81102
2,1652,24624,425.5824313725491,813.2567843137255,2.2284899,81102
2,2829,24624,394.9829019607844,815.5858823529412,1.7914039,81102
2,2899,24624,389.60188235294123,820.7259607843137,1.9457583,81102
2,3651,24624,879.5959215686274,538.8247843137254,4.741439,81102
2,3658,24624,868.8338823529411,616.3275294117647,5.673428,81102
2,4645,24624,670.7802352941177,709.4914509803921,5.623862,81102
2,11649,24624,852.5301960784313,704.4316862745097,4.205504,81102
2,1505,39291,615.7653333333334,593.5987450980392,0.03393632,81102
2,1652,39291,658.4922352941178,828.4360784313726,,81102
2,2829,39291,664.7567058823529,861.5253333333333,0.05495669,81102
2,2899,39291,598.4175686274511,888.7516862745098,0.7492544,81102
2,3651,39291,752.5396078431372,728.8470588235293,4.026851,81102
2,3658,39291,888.9926274509804,548.6230588235293,6.1563444,81102
2,4645,39291,689.4933333333333,726.2770196078432,5.6195483,81102
2,11649,39291,682.5060392156863,761.2938039215686,3.4798348,81102
2,1505,41790,615.7653333333334,616.6487843137255,2.5790043,81102
2,2829,41790,662.9094901960784,846.4263529411764,0.11054276,81102
2,2899,41790,613.9181176470589,894.4539607843137,,81102
2,3651,41790,698.0869019607844,751.4955294117647,3.6570098,81102
2,3658,41790,903.2884705882353,543.5632941176469,5.246392,81102
2,4645,41790,679.2131764705882,727.2407843137255,5.699002,81102
2,11649,41790,726.598274509804,797.1940392156862,4.3617477,81102
2,1505,45949,624.1982745098039,657.1269019607843,0.93587625,81102
2,2829,45949,654.556862745098,819.2803137254903,,81102
2,3651,45949,771.252705882353,714.3102745098039,4.0178804,81102
2,3658,45949,904.8947450980393,534.4075294117646,4.82506,81102
2,4645,45949,688.7705098039216,750.772705882353,3.617701,81102
2,11649,45949,756.3946666666668,806.510431372549,4.6038246,81102
2,1505,49181,710.2945882352941,716.2378039215686,,81102
2,3651,49181,757.9206274509804,724.0282352941176,4.8323145,81102
2,3658,49181,846.6672941176471,509.42996078431366,4.2109733,81102
2,4645,49181,732.5414901960785,732.380862745098,5.3622203,81102
2,11649,49181,752.2986666666668,777.8384313725489,5.6525273,81102
3,1505,9233,727.3210980392157,711.097725490196,3.492107,81102
3,1652,9233,194.35921568627452,589.9846274509805,0.2939496,81102
3,1685,9233,102.5606274509804,441.1632941176471,1.4375314,81102
3,2829,9233,596.7309803921569,449.0340392156862,4.870964,81102
3,2899,9233,777.3565490196079,549.8277647058824,6.223616,81102
3,3651,9233,264.63372549019607,356.43231372549025,,81102
3,3658,9233,307.4409411764706,311.697568627451,4.288532,81102
3,4645,9233,431.686274509804,837.2705882352941,4.893733,81102
3,11649,9233,276.4398431372549,335.1491764705883,4.141774,81102
3,25888,9233,227.68941176470588,445.25929411764713,3.3408422,81102
3,1505,11088,731.0155294117648,733.8265098039216,3.962368,81102
3,1652,11088,183.75780392156867,586.8523921568628,0.3897264,81102
3,1685,11088,82.80345098039214,441.1632941176472,3.4343703,81102
3,2829,11088,519.6298039215686,438.5932549019608,4.794411,81102
3,2899,11088,705.1545098039215,511.91968627450973,4.820343,81102
3,3658,11088,298.7670588235294,356.5929411764706,4.506547,81102
3,4645,11088,392.1719215686275,869.6370196078432,5.290605,81102
3,11649,11088,256.6023529411765,335.5507450980393,3.352036,81102
3,25888,11088,237.4073725490196,454.5756862745099,,81102
3,1505,17380,660.7410196078431,860.8828235294118,4.466376,81102
3,1652,17380,216.44549019607842,608.6977254901961,0.17506628,81102
3,1685,17380,123.36188235294117,439.79796078431383,0.3767836,81102
3,2829,17380,325.5918431372549,481.8020392156863,4.4328203,81102
3,2899,17380,488.62870588235296,427.99184313725493,4.8616643,81102
3,3658,17380,158.53929411764705,375.38635294117654,3.7904966,81102
3,4645,17380,184.2396862745099,746.9979607843138,5.907716,81102
3,11649,17380,151.3913725490196,374.82415686274516,,81102
3,1505,18711,674.4746666666667,890.8398431372548,4.9514565,81102
3,1652,18711,226.56501960784317,607.5733333333334,0.1905021,81102
3,1685,18711,140.06713725490192,421.486431372549,6.2731185,81102
3,2829,18711,295.6348235294118,497.70415686274515,4.8613343,81102
3,2899,18711,465.57866666666666,430.16031372549014,4.896372,81102
3,3658,18711,140.54901960784315,374.26196078431377,,81102
3,4645,18711,181.18776470588244,763.6229019607844,5.967473,81102
3,1505,37174,758.7237647058823,714.3102745098039,3.951343,81102
3,1652,37174,193.9576470588235,327.68,1.8588973,81102
3,1685,37174,120.47058823529414,392.57349019607847,1.4120474,81102
3,2829,37174,61.1187450980392,539.1460392156864,2.1277273,81102
3,2899,37174,249.69537254901957,490.5562352941177,0.16255692,81102
3,4645,37174,336.1932549019607,367.9974901960784,,81102
4,1505,4485,689.1720784313726,711.0174117647058,2.5522554,81102
4,1652,4485,853.3333333333333,302.30086274509796,,81102
4,1685,4485,784.4241568627451,399.88203921568623,0.28752652,81102
4,2829,4485,68.50760784313724,495.9372549019608,5.855763,81102
4,2899,4485,158.2180392156863,624.1179607843138,3.1489756,81102
4,3651,4485,689.7342745098038,166.731294117647,2.7733414,81102
4,3658,4485,535.0500392156864,874.8574117647058,0.8395559,81102
4,4645,4485,634.478431372549,808.9198431372549,1.2537022,81102
4,11649,4485,676.9643921568627,243.5112156862744,2.332017,81102
4,25888,4485,851.8073725490196,229.9381960784313,3.121363,81102
4,1505,5571,691.3405490196078,718.4865882352941,1.8275213,81102
4,1685,5571,793.1783529411765,393.77819607843134,,81102
4,2829,5571,73.88862745098038,458.91262745098044,1.2250754,81102
4,2899,5571,163.9203137254902,623.7163921568629,2.1998813,81102
4,3651,5571,712.4630588235293,197.73239215686266,2.0079794,81102
4,3658,5571,566.9345882352942,886.2619607843137,0.6738957,81102
4,4645,5571,644.6782745098039,798.2381176470589,1.300762,81102
4,11649,5571,682.827294117647,287.2018823529412,2.033925,81102
4,25888,5571,858.0718431372547,233.15074509803918,3.5205812,81102
4,1505,7838,734.1477647058823,722.7432156862744,3.234878,81102
4,2829,7838,128.18070588235298,425.74305882352945,0.3972042,81102
4,2899,7838,252.74729411764707,610.7858823529413,1.4318743,81102
4,3651,7838,792.8570980392155,236.28298039215684,3.040254,81102
