locX,locY
869.275727,477.3602374
786.8087834,397.0810682
198.2366766,525.491276
201.3360237,546.3966766
747.0642136,675.84
720.0208902,721.1147774
670.7351929,735.8214837
810.5096736,439.6818991
768.2734718,339.8950742
590.9421958,360.8004748
591.6106825,366.0875964
195.5019585,447.3998813
267.7592878,339.4089021
284.7753116,310.9678338
585.8981602,538.6786944
651.8352522,400.4235015
788.6319288,340.9281899
783.5271217,306.4099703
768.8204154,281.979822
669.6413056,263.5660534
632.8745401,273.228724
854.2043917,449.0407122
712.6067656,284.0460534
714.551454,280.8859347
731.6890208,268.5493175
255.5442136,368.0322849
262.0467656,340.1989318
158.5528783,301.3659347
156.7297329,272.2563798
181.5852819,288.968546
212.5787537,220.782908
330.9008902,445.5159644
199.0267062,430.1407715
638.8909199,399.9981009
701.8502077,354.1763798
709.8720475,354.1763798
207.8385757,559.2802374
