locX,locY
602.1849258,363.4744214
618.4109199,460.2226706
702.7010089,391.7939466
634.4545994,495.4093769
652.3214243,493.4646884
591.0637389,317.5311573
616.8308605,459.8580415
716.678457,391.7331751
611.7868249,460.7696142
652.3214243,493.4646884
694.4968546,355.8172107
787.7203561,437.2510386
635.1838576,375.264095
612.8199407,359.0381009
799.0846291,396.5948961
648.7966766,388.3299703
597.3839763,344.4529377
803.7640356,388.6945994
609.902908,342.9944214
803.7640356,388.6945994
651.1059941,536.0655193
607.1681899,371.8608902
594.8923442,369.0046291
717.7115727,610.6929377
421.8758457,618.7147774
263.1406528,680.8840356
864.7178635,522.3311573
844.1163205,525.5520475
851.2265875,444.3005341
495.895549,609.7205935
572.0422552,548.219822
871.1596439,467.0898516
862.408546,470.4322849
841.5639169,472.0731157
620.9025519,462.1673591
726.03727,413.7932344
858.9445697,493.7077745
841.1992878,480.5811276
628.3166766,433.7870623
866.0548368,463.6866469
623.0295549,524.7012463
851.2873591,463.9905045
845.6963798,431.7816024
401.6389318,596.6547181
810.0235015,600.787181
521.9057567,589.4836795
213.794184,572.1637982
870.4303858,569.6113947
414.097092,462.8358457
830.3211869,584.6219585
395.2579228,514.370089
212.5179822,559.705638
843.2655193,460.4657567
409.1745994,548.1590504
396.0479525,487.9952522
270.7978635,603.8257567
888.3579822,522.6350148
625.64273,546.335905
375.1425519,455.057092
409.478457,586.8705045
674.9891988,557.6394065
653.7191691,479.6695549
535.8832047,580.4894955
638.6478338,520.2041543
616.527003,527.9221365
653.4760831,475.0509199
736.3684273,390.7608309
696.6846291,354.3586944
796.8968546,422.3620178
696.6846291,354.3586944
770.9474184,427.6491395
793.6151929,405.9537092
786.4441543,392.9486053
694.071454,354.6017804
614.278457,451.5931157
643.1449258,419.9919288
768.3950148,340.5635608
789.1181009,390.2746588
604.9196439,449.2837982
635.4877151,423.5166766
771.3120475,352.8394065
789.1181009,390.2746588
603.4611276,449.2837982
603.4611276,449.2837982
635.5484866,423.6382196
635.5484866,423.6382196
771.3120475,352.8394065
771.3120475,352.8394065
622.7864688,453.7808902
648.9789911,398.9649852
768.5165579,343.1767359
612.029911,387.4183976
