locX,locY
608.2013056,213.3687834
587.4782196,205.1646291
613.0630267,342.3867062
511.7569139,166.6962611
346.2760831,226.7992878
616.2231454,217.4404748
593.6769139,210.4517507
613.1845697,342.8121068
520.8118694,165.5416024
349.7400593,223.6999407
773.5605935,301.3659347
713.5791098,319.9012463
594.5277151,356.9110979
699.4193472,325.188368
691.6405935,319.6581602
773.3782789,301.1228487
714.0045104,319.4758457
594.5277151,356.9110979
700.0878338,324.3983383
691.6405935,319.6581602
782.5547774,307.5038576
712.6675371,320.2658754
600.3617804,338.4365579
710.6620772,330.9616617
691.6405935,319.6581602
797.8691988,362.9274777
751.1966766,354.6625519
623.1510979,382.7389911
727.6781009,359.3419585
732.0536499,342.6297923
684.4087834,375.385638
751.9259347,379.7611869
827.7080119,435.8532938
703.1264095,382.7389911
632.2060534,338.2542433
273.7756677,298.6919881
293.0402374,331.1439763
617.7424332,346.6407122
334.0610089,406.0144807
197.6897329,434.0909199
613.3061128,260.0413056
222.0591098,389.3023145
618.0462908,346.6407122
324.8845104,293.2833234
200.059822,427.2237389
613.3061128,260.1020772
237.1912166,386.2637389
618.0462908,346.5799407
326.7684273,292.0678932
206.9877745,428.6822552
663.2602967,274.3226113
180.0052226,475.3547774
617.3170326,346.5191691
191.9772107,456.2725223
684.1049258,272.985638
226.0700297,452.7477745
593.3122849,364.7506231
237.3127596,390.0315727
347.9169139,196.5350742
224.4899703,420.964273
615.9192878,336.2487834
267.7592878,383.1036202
242.4175668,395.5010089
650.0121068,340.9889614
289.3939466,359.40273
454.6924629,442.5381602
343.784451,382.374362
463.5651039,198.4189911
451.5931157,426.5552522
324.4591098,409.6607715
417.2572107,434.0909199
320.0227893,355.7564392
384.4405935,213.3080119
442.6597033,446.6098516
326.2214837,414.5832641
396.2302671,456.9410089
314.9787537,365.1760237
346.5191691,254.6326409
446.7921662,459.1895549
360.8612463,450.9854006
382.7389911,456.0902077
310.1778042,360.8004748
353.0217211,271.3448071
448.0075964,466.0567359
393.495549,454.5709199
369.1261721,446.3667656
306.8353709,369.1869436
338.6188724,268.3062315
440.2896142,459.9795846
395.3186944,479.4872404
407.6553116,461.9850445
341.0497329,360.8004748
341.0497329,360.8004748
334.7902671,328.3484866
334.7902671,328.3484866
412.2131751,459.675727
412.2131751,459.675727
403.5228487,486.779822
391.7331751,210.4517507
834.8790504,432.6931751
198.4189911,438.5272404
890.3026706,428.0137685
669.215905,301.0013056
366.391454,462.3496736
795.4383383,404.2521068
180.6129377,447.3391098
871.7065875,446.7313947
700.8778635,252.8094955
386.871454,445.941365
794.5875371,405.0421365
159.5859941,441.8089021
870.3088427,531.1430267
706.5296142,252.8702671
313.3379228,384.0759644
794.5875371,405.0421365
156.6081899,439.195727
870.1265282,534.607003
706.6511573,252.0802374
313.3379228,382.9820772
797.5045697,391.4293175
153.6303858,430.08
854.9944214,507.381365
728.7112166,253.1133531
324.7021958,368.761543
502.3373294,170.8894955
414.9478932,214.5234421
608.0189911,329.4423739
721.9048071,264.0522255
586.2627893,359.2204154
554.9654599,168.580178
467.6367953,198.7836202
591.792997,350.5908605
703.308724,249.5278338
710.5405341,209.2363205
608.9913353,210.8771513
611.7260534,345.5468249
730.5951335,249.1632047
774.0467656,224.2468843
624.8527003,264.4776261
640.7140653,338.8011869
730.5951335,249.1632047
768.6988724,401.2743027
670.0059347,289.8193472
789.1788724,310.8462908
778.3007715,398.9042136
692.0659941,303.6752522
811.1781602,396.7772107
633.7253412,443.7535905
745.5449258,344.4529377
667.5750742,429.5938279
523.7289021,167.7901484
254.0856973,436.4610089
500.635727,177.9389911
619.6871217,275.355727
308.1723442,246.0638576
472.0123442,195.0157864
242.1744807,432.1462315
445.941365,200.059822
623.1510979,224.3076558
265.2068843,264.9637982
417.5610682,203.7061128
231.7825519,424.6105638
391.4293175,210.8771513
575.5062315,185.8392878
247.9477745,270.737092
406.6221958,204.9823145
228.6224332,421.6327596
380.6119881,213.0649258
567.3020772,178.5467062
346.6407122,200.3636795
235.2465282,393.7994065
336.0664688,239.8651632
534.3639169,162.2599407
233.2410682,388.9376855
336.674184,250.0140059
550.9545401,167.0001187
253.2348961,380.9766172
276.3280712,335.7018398
334.304095,244.7268843
753.4452226,322.4536499
215.8604154,380.7943027
348.038457,268.9139466
803.095549,421.8150742
187.8447478,421.0250445
737.4623145,308.8408309
358.0049852,274.5049258
789.3611869,414.5832641
175.0219585,422.9697329
714.9160831,300.5151335
367.6068843,287.8138872
772.2236202,391.0646884
173.4418991,423.212819
687.2650445,298.1450445
367.5461128,303.3713947
751.9259347,366.2091395
549.9214243,165.8454599
439.074184,450.56
464.1120475,209.3578635
367.4853412,199.6951929
309.7524036,236.5835015
556.8493769,165.7846884
415.9810089,683.0110386
738.7385163,289.5154896
824.9125223,271.4055786
621.9356677,332.6024926
615.1292582,214.2803561
457.427181,665.8734718
758.3677151,317.3488427
812.2720475,284.349911
613.7922849,327.3761424
625.2781009,232.8156677
469.9461128,638.2832047
749.1304451,312.8517507
811.4820178,284.1068249
602.7926409,323.182908
633.6645697,268.6708605
549.3744807,554.7831454
817.8022552,286.9630861
615.7977448,326.4037982
628.012819,270.4332344
586.6274184,530.5353116
809.7804154,287.0238576
623.8195846,332.4809496
628.3774481,269.9470623
587.7213056,530.109911
809.7196439,287.0238576
623.8195846,332.4809496
236.3404154,561.3464688
178.8505638,273.5933531
620.4163798,488.6637389
380.0650445,461.8635015
325.2491395,207.2308605
195.5019585,529.0767953
173.9280712,281.0074777
620.4163798,488.6637389
348.281543,443.571276
325.2491395,207.2308605
179.8836795,490.4868843
174.2927003,284.9576261
626.6150742,467.2721662
340.8674184,441.6873591
337.9503858,219.0205341
236.1581009,442.4773887
169.8563798,314.2494955
622.4826113,463.7474184
343.784451,218.1697329
187.1762611,342.2043917
715.6453412,329.5639169
322.5751929,208.4462908
682.9502671,309.570089
339.7127596,200.6675371
374.1702077,207.8385757
344.9998813,271.4663501
872.6181602,530.7176261
895.2859347,616.648546
790.0904451,373.380178
849.5857567,483.4373887
900.6945994,614.8861721
849.0995846,601.9418398
878.391454,641.9902671
772.7705638,313.0340653
863.8062908,524.0935312
901.7277151,623.515727
327.801543,387.2968546
676.9338872,211.4848665
373.258635,214.7057567
332.7240356,273.107181
794.8913947,343.2375074
766.5718694,262.7760237
747.7934718,360.1319881
711.8775074,357.8226706
800.7862315,376.0541246
767.5442136,262.5329377
738.9208309,377.634184
703.065638,356.1210682
709.2035608,360.8004748
686.2319288,404.9205935
675.718457,401.6389318
703.4302671,355.2702671
685.9888427,397.1418398
703.4302671,355.2702671
685.9888427,397.1418398
703.4302671,355.2702671
684.1656973,384.3190504
