locX,locY
829.3488427,566.1474184
619.9302077,453.9632047
695.8945994,382.374362
587.3566766,349.3754303
769.6712166,405.7106231
829.4096142,566.0866469
618.5324629,449.5268843
695.8945994,382.374362
772.0413056,402.1858754
815.0067656,438.7095549
618.775549,471.8908012
612.6376261,358.1265282
829.2272997,379.0319288
815.0067656,438.7095549
618.5324629,471.8908012
829.1057567,379.2142433
814.3990504,439.195727
829.8957864,370.767003
827.1002967,383.4682493
352.0493769,461.4381009
364.7506231,550.832997
404.0090208,572.4068843
220.9652226,558.6725223
365.1760237,443.2066469
210.1478932,467.2113947
343.784451,408.6884273
221.9983383,573.0145994
308.4762018,391.3077745
331.6909199,397.7495549
206.6839169,574.5338872
312.5478932,394.4678932
343.784451,426.1906231
221.0259941,576.0531751
380.9158457,570.5837389
298.8743027,359.5850445
320.2051039,566.815905
312.7909792,373.5624926
315.6472404,373.3194065
196.6566172,530.231454
416.6494955,564.9927596
363.7782789,547.6121068
209.8440356,561.1641543
423.0305045,527.0105638
183.1045697,467.0898516
417.5610682,616.5877745
244.7876558,574.8985163
368.518457,556.6062908
190.7617804,431.9031454
416.0417804,616.9524036
325.4922255,573.9869436
212.6395252,439.1349555
351.5024332,577.0862908
370.2808309,576.3570326
356.3033828,570.4621958
356.3033828,570.4621958
355.6348961,571.3737685
851.8343027,521.7842136
520.8726409,600.1186944
625.3996439,515.2816617
830.9896736,565.2358457
653.7191691,515.7070623
643.4487834,481.4319288
624.0626706,364.5683086
808.7472997,597.1408902
680.0332344,369.6123442
689.695905,382.0705045
682.4033234,354.7233234
794.5875371,611.0575668
690.7897923,382.252819
796.6537685,612.5768546
693.5245104,370.4631454
663.5033828,421.0250445
653.6583976,501.1218991
641.5648665,462.7750742
623.515727,421.6935312
817.6199407,442.4166172
648.614362,408.1414837
652.9291395,473.5924036
639.8024926,450.0738279
638.4655193,383.5897923
820.4762018,439.9249852
587.2351335,350.7731751
619.5048071,380.1865875
696.32,358.3696142
796.349911,440.4719288
587.4782196,350.9554896
696.32,358.3696142
790.4550742,436.0963798
607.2897329,337.2818991
587.9036202,370.767003
823.6363205,442.1735312
599.0248071,324.8845104
586.0197033,375.0817804
588.7544214,351.3201187
262.1683086,350.7731751
303.4929377,334.1825519
330.7185757,387.7222552
653.0506825,481.5534718
303.6144807,364.9329377
284.8360831,319.5366172
326.0391691,389.4846291
633.3607122,464.1120475
284.2891395,354.6625519
325.6745401,390.9431454
483.8627893,445.5159644
295.4103264,363.3528783
327.0722849,390.0923442
477.9679525,442.7812463
295.4103264,363.3528783
313.6417804,375.7502671
406.9260534,446.5490801
311.6363205,379.7611869
389.4238576,446.3059941
321.055905,386.0814243
216.6504451,558.6725223
333.0886647,440.2896142
336.4918694,434.455549
207.8385757,565.2358457
217.1366172,340.9889614
201.8221958,558.3078932
318.0173294,437.9802967
324.7021958,430.8092582
202.2475964,565.3573887
226.0092582,327.1938279
313.8848665,425.9475371
319.7797033,413.8540059
193.9218991,566.1474184
236.1581009,330.9616617
318.9896736,420.7211869
308.1723442,405.0421365
195.9881306,566.2689614
240.7159644,345.5468249
325.1275964,441.6265875
279.0020178,319.7797033
195.9881306,432.6324036
288.4823739,311.5147774
330.4754896,425.7652226
287.8746588,319.5366172
258.4004748,390.2746588
298.9350742,310.7855193
402.0643323,454.6924629
271.4055786,307.6861721
220.9652226,438.9526409
307.321543,299.2997033
333.3317507,423.8813056
242.1137092,285.1399407
238.8320475,401.3958457
653.7191691,456.2725223
843.9340059,428.0745401
632.1452819,520.3864688
640.1063501,467.0898516
634.88,472.7416024
802.0016617,429.958457
612.151454,479.7910979
624.3665282,420.1134718
620.0517507,428.3176261
798.72,434.0301484
622.9687834,402.4897329
621.388724,427.831454
795.3775668,418.8980415
607.2897329,378.4242136
588.2682493,350.3477745
774.1683086,401.6389318
588.3290208,353.6902077
588.2682493,353.5078932
254.754184,302.2167359
164.8731157,441.3835015
358.6127003,462.3496736
203.1591691,386.8106825
340.6851039,464.415905
251.2902077,294.4379822
213.2472404,428.4999407
210.3302077,385.6560237
317.1057567,495.1055193
292.6756083,289.090089
227.1639169,365.1152522
327.8623145,498.8125816
268.731632,287.6315727
220.8436795,390.6392878
341.9005341,430.7484866
319.1719881,313.6417804
211.3025519,425.0359644
332.298635,426.1906231
312.5478932,307.078457
198.4797626,430.1407715
329.7462315,426.0690801
241.262908,304.3437389
276.9965579,307.078457
343.784451,385.7775668
239.6828487,282.9521662
314.4318101,298.9350742
331.8124629,389.4846291
610.8144807,542.5680712
745.6056973,710.2366766
690.6682493,588.0859347
756.5445697,679.1216617
747.3680712,700.5740059
567.2413056,543.6619585
661.2548368,723.2417804
685.6242136,598.660178
711.6344214,726.8272997
588.1467062,364.2036795
708.4135312,591.7322255
696.441543,369.1869436
775.8091395,378.5457567
616.7093175,340.5027893
732.1144214,522.3311573
602.9749555,368.3361424
829.7742433,376.7226113
625.4604154,346.4583976
712.059822,530.8391691
620.9633234,381.3412463
625.8250445,393.0701484
653.7191691,478.8795252
626.6758457,411.6054599
631.2944807,404.4344214
653.7191691,472.8631454
626.6758457,411.6662315
630.504451,403.0366766
652.868368,471.2830861
643.6310979,461.3773294
