Player,Agents,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD,Role
tryst  Kolk,,30,119.5,0.41,43%,84.4,0.37,0.23,0.1,0.23,27%,20%,01-May,7,11,27,7,3,7,Non-Duelist
Levi  KE,(+3),189,118.5,0.47,57%,78.2,0.39,0.21,0.04,0.11,30%,8%,Feb-25,12,74,158,39,8,21,Non-Duelist
paddoX  Kolk,,30,117.5,0.43,40%,77.1,0.4,0.07,0.03,0.1,29%,20%,01-May,6,12,28,2,1,3,Non-Duelist
ONI  ROG,,42,117,0.66,67%,82.1,0.45,0.21,0.02,0.1,18%,40%,02-May,11,19,29,9,1,4,Non-Duelist
Khattak X  Agon,,41,116,0.67,71%,74.1,0.39,0.34,0,0.07,16%,,0/6,9,16,24,14,0,3,Non-Duelist
esc4norrr  TL,,37,114,0.41,51%,75.7,0.35,0.08,0.03,0.3,15%,,0/2,11,13,32,3,1,11,Non-Duelist
Vortex  BLIND,,40,111.5,0.45,58%,70.3,0.33,0.4,0.05,0.08,19%,,0/6,7,13,29,16,2,3,Non-Duelist
Ananta  VOIX,,16,99,0.29,56%,76.9,0.25,0.31,0.06,0.13,16%,,0/1,4,4,14,5,1,2,Non-Duelist
V27  Evol,,16,91,0.31,50%,61.8,0.25,0.25,0,0.06,15%,,0/2,4,4,13,4,0,1,Non-Duelist
Flamezyy  XLE,,18,87,0.19,44%,56.2,0.17,0.56,0.11,0.11,19%,,0/2,3,3,16,10,2,2,Non-Duelist
ANTARESS  Veno,,14,86,0.29,50%,58,0.29,0.29,0,0.14,25%,,0/2,4,4,14,4,0,2,Non-Duelist
GRIFFIN  Trin,,14,80,0.31,43%,57.7,0.29,0.07,0,0.07,36%,,0/2,4,4,13,1,0,1,Non-Duelist
RaideR  uG,,30,72.5,0.14,40%,55.7,0.13,0.27,0.07,0.2,10%,,0/3,2,4,29,8,2,6,Non-Duelist
Kyta  Evol,,16,71,0.19,44%,50.9,0.19,0.13,0.06,0.19,38%,,0/1,3,3,16,2,1,3,Non-Duelist
SpaceWiz  XLE,,36,70.5,0.27,61%,54.3,0.22,0.33,0.06,0,28%,,0/6,7,8,30,12,2,0,Non-Duelist
RaFzer  Veno,,14,60,0.14,21%,44.3,0.14,0.14,0.07,0.29,27%,,0/1,2,2,14,2,1,4,Non-Duelist
lilzahzah  Trin,,14,48,0.07,21%,38.6,0.07,0.21,0,0.29,5%,,0/3,1,1,15,3,0,4,Non-Duelist
