roundNumber,playerId,roundTimeMillis,locationX,locationY,viewRadians,matchId
13,1667,25614,657.2283509,474.9204211,5.045166527,83354
13,1667,26815,661.4680702,453.434386,,83354
14,1667,55573,424.546807,282.5521404,3.932813727,83354
14,1667,57282,428.3553684,318.7694035,5.049805927,83354
14,1667,60290,416.570386,290.3129825,3.882562927,83354
14,1667,66226,410.5341754,292.8999298,3.852476927,83354
14,1667,66513,407.8035088,290.3848421,3.895736527,83354
14,1667,67423,404.6416842,287.6541754,3.768138327,83354
14,1667,68815,380.7842807,276.7315088,4.915392927,83354
14,1667,78387,223.5553684,260.922386,7.784856627,83354
15,1667,35920,495.7597193,389.5511579,,83354
16,1667,3559,512,358.0047719,2.389372187,83354
16,1667,6185,468.165614,279.749614,2.760590527,83354
16,1667,7680,429.4332632,288.9476491,3.959587627,83354
16,1667,11497,500.933614,289.0195088,3.024379427,83354
16,1667,72305,855.4172632,236.8494035,3.115583327,83354
16,1667,74222,855.7765614,238.2865965,3.014448127,83354
16,1667,79192,858.1479298,264.2997895,2.998409727,83354
16,1667,81130,884.5922807,263.2218947,3.226728727,83354
17,1667,25737,278.0968421,227.2920702,2.003344077,83354
17,1667,62962,588.4586667,469.2435088,5.429504027,83354
17,1667,68595,495.9034386,397.3838596,6.540990627,83354
17,1667,77871,427.2774737,311.5834386,5.266892727,83354
17,1667,77975,427.2774737,311.5834386,5.261170427,83354
17,1667,84834,425.1935439,326.8895439,5.440263627,83354
17,1667,84834,425.1935439,326.8895439,5.440263627,83354
18,1667,28815,368.5681404,179.5054035,3.267342927,83354
18,1667,42567,441.3619649,184.0325614,1.730905977,83354
18,1667,44684,471.1118596,188.7752982,1.729947227,83354
18,1667,51586,527.0905263,211.4829474,3.224392827,83354
18,1667,58277,449.9851228,305.8346667,7.486976327,83354
18,1667,61659,466.0098246,319.7035789,,83354
19,1667,42148,384.7365614,179.4335439,3.479290727,83354
19,1667,49109,514.3713684,249.1374035,3.277158227,83354
19,1667,52873,418.1512982,300.229614,4.865116927,83354
19,1667,59613,422.3191579,277.4501053,3.800525527,83354
19,1667,60611,402.1265965,281.9772632,5.118988827,83354
19,1667,73327,333.1413333,306.7688421,,83354
20,1667,25541,677.9239298,441.0026667,3.860118027,83354
20,1667,36165,702.2843509,307.3437193,2.905579027,83354
20,1667,37380,725.7105965,323.2247018,3.185332127,83354
20,1667,39344,746.7654737,357.9329123,,83354
