roundNumber,playerId,roundTimeMillis,locationX,locationY,viewRadians,matchId
13,286,25614,583.8596491,184.1044211,3.699056327,83354
13,286,26815,592.7702456,195.2426667,3.864366827,83354
13,286,45302,849.5966316,387.0360702,4.536364127,83354
13,286,47344,829.9070877,356.8550175,2.827988727,83354
13,286,53641,821.4276491,324.1588772,2.794625327,83354
13,286,55051,819.2718596,312.0145965,2.381025827,83354
13,286,71027,913.9110175,388.9762807,3.776277127,83354
14,286,55573,527.5216842,304.2537544,3.275488827,83354
14,286,57282,519.6171228,307.8467368,3.268913027,83354
14,286,60290,485.986807,299.7984561,3.040828827,83354
14,286,66226,281.9054035,370.0053333,5.200002527,83354
14,286,66513,280.6837895,372.3767018,5.274113727,83354
14,286,67423,262.4314386,373.6701754,5.501335027,83354
14,286,68815,231.4599298,374.0294737,6.249150327,83354
14,286,78387,191.074807,310.074386,1.693706757,83354
15,286,35920,535.2106667,352.3997193,3.430940127,83354
15,286,38413,528.0965614,368.2807018,,83354
16,286,3559,553.3192982,410.821614,3.938591527,83354
16,286,6185,540.5282807,356.7112982,6.285390327,83354
16,286,7680,534.5639298,287.0792982,6.141667327,83354
16,286,11497,649.5393684,175.9124211,1.584218657,83354
16,286,72305,843.4167018,279.8214737,,83354
17,286,25737,939.5649123,239.9393684,3.467038127,83354
17,286,62962,926.6301754,241.3047018,3.410084527,83354
17,286,68595,777.0902456,160.5344561,4.567362827,83354
17,286,77871,358.1484912,181.1581754,3.350502527,83354
17,286,77975,356.4957193,182.0204912,3.348002527,83354
17,286,84834,326.8176842,213.9980351,4.318922827,83354
17,286,84834,326.8176842,213.9980351,4.318922827,83354
18,286,28815,151.9112982,245.6162807,3.022900627,83354
18,286,42567,112.8915088,231.8192281,2.489564427,83354
18,286,44684,114.688,241.8795789,7.794949827,83354
18,286,51586,92.84266667,290.6004211,1.942847327,83354
18,286,58277,95.14217544,256.1796491,7.731646827,83354
18,286,61659,121.3709474,233.6157193,2.377359727,83354
18,286,64207,158.306807,239.8675088,2.527244167,83354
18,286,69840,217.3035789,215.2196491,,83354
19,286,42148,525.0065965,565.9665965,4.951141927,83354
19,286,49109,353.693193,524.4317193,4.794360727,83354
19,286,52873,399.6833684,538.9473684,7.821205327,83354
19,286,59613,347.0102456,432.3076491,6.583462027,83354
19,286,60611,329.3327719,413.9115789,6.403602927,83354
19,286,73327,350.9625263,207.458807,4.365805327,83354
19,286,74487,351.3218246,208.2492632,4.361970327,83354
19,286,74879,351.6811228,209.1834386,4.399264627,83354
19,286,87279,231.4599298,279.2465965,5.105470727,83354
19,286,95155,409.5281404,292.3250526,2.059464707,83354
20,286,25541,531.5458246,211.4829474,,83354
